里程,Meters,Flags,Event,左高程(mm),右高程(mm)
99,999.75,0040,0000,-0.480,-0.970
99,999.50,0040,0000,-0.440,-1.030
99,999.25,0040,0000,-0.410,-0.990
99,999.00,0040,0000,-0.450,-0.900
99,998.75,0040,0000,-0.420,-0.830
99,998.50,0040,0000,-0.400,-0.770
99,998.25,0040,0000,-0.350,-0.750
99,998.00,0040,0000,-0.310,-0.710
99,997.75,0040,0000,-0.090,-0.580
99,997.50,0040,0000,0.040,-0.550
99,997.25,0040,0000,0.310,-0.350
99,997.00,0040,0000,0.340,-0.280
99,996.75,0040,0000,0.370,-0.130
99,996.50,0040,0000,0.340,-0.080
99,996.25,0040,0000,0.270,-0.030
99,996.00,0040,0000,0.290,0.000
99,995.75,0040,0000,0.250,0.050
99,995.50,0040,0000,0.230,0.080
99,995.25,0040,0000,0.230,0.100
99,995.00,0040,0000,0.180,0.080
99,994.75,0040,0000,0.210,0.110
99,994.50,0040,0000,0.200,0.130
99,994.25,0040,0000,0.180,0.100
99,994.00,0040,0000,0.110,0.000
99,993.75,0040,0000,0.000,-0.050
99,993.50,0040,0000,-0.200,-0.120
99,993.25,0040,0000,-0.370,-0.130
99,993.00,0040,0000,-0.560,-0.190
99,992.75,0040,0000,-0.670,-0.220
99,992.50,0040,0000,-0.720,-0.270
99,992.25,0040,0000,-0.720,-0.320
99,992.00,0040,0000,-0.610,-0.200
99,991.75,0040,0000,-0.550,-0.170
99,991.50,0040,0000,-0.500,-0.100
99,991.25,0040,0000,-0.450,-0.100
99,991.00,0040,0000,-0.360,-0.030
99,990.75,0040,0000,-0.200,0.070
99,990.50,0040,0000,-0.040,0.160
99,990.25,0040,0000,0.060,0.250
99,990.00,0040,0000,0.170,0.290
99,989.75,0040,0000,0.260,0.320
99,989.50,0040,0000,0.330,0.300
99,989.25,0040,0000,0.410,0.300
99,989.00,0040,0000,0.470,0.250
99,988.75,0040,0000,0.490,0.230
99,988.50,0040,0000,0.440,0.170
99,988.25,0040,0000,0.350,0.140
99,988.00,0040,0000,0.310,0.130
99,987.75,0040,0000,0.260,0.090
99,987.50,0040,0000,0.260,0.060
99,987.25,0040,0000,0.250,0.040
99,987.00,0040,0000,0.200,0.000
99,986.75,0040,0000,0.200,0.030
99,986.50,0040,0000,0.150,0.000
99,986.25,0040,0000,0.130,-0.040
99,986.00,0040,0000,0.170,-0.090
99,985.75,0040,0000,0.120,-0.130
99,985.50,0040,0000,0.200,-0.110
99,985.25,0040,0000,0.110,-0.150
99,985.00,0040,0000,0.120,-0.160
99,984.75,0040,0000,0.080,-0.140
99,984.50,0040,0000,0.100,-0.110
99,984.25,0040,0000,0.170,-0.080
99,984.00,0040,0000,0.170,-0.060
99,983.75,0040,0000,0.140,-0.100
99,983.50,0040,0000,0.130,-0.120
99,983.25,0040,0000,0.130,-0.140
99,983.00,0040,0000,0.150,-0.130
99,982.75,0040,0000,0.170,-0.060
99,982.50,0040,0000,0.070,-0.090
99,982.25,0040,0000,0.080,-0.020
99,982.00,0040,0000,0.100,0.000
99,981.75,0040,0000,0.100,0.030
99,981.50,0040,0000,0.130,0.050
99,981.25,0040,0000,0.030,0.030
99,981.00,0040,0000,0.060,0.130
99,980.75,0040,0000,0.030,0.180
99,980.50,0040,0000,0.080,0.240
99,980.25,0040,0000,0.060,0.260
99,980.00,0040,0000,0.060,0.250
99,979.75,0040,0000,0.090,0.270
99,979.50,0040,0000,0.180,0.250
99,979.25,0040,0000,0.210,0.220
99,979.00,0040,0000,0.310,0.200
99,978.75,0040,0000,0.270,0.170
99,978.50,0040,0000,0.270,0.170
99,978.25,0040,0000,0.240,0.200
99,978.00,0040,0000,0.230,0.180
99,977.75,0040,0000,0.240,0.220
99,977.50,0040,0000,0.140,0.130
99,977.25,0040,0000,0.130,0.080
99,977.00,0040,0000,0.100,0.030
99,976.75,0040,0000,0.090,0.030
99,976.50,0040,0000,0.090,0.060
99,976.25,0040,0000,0.060,0.060
99,976.00,0040,0000,0.060,0.150
99,975.75,0040,0000,0.120,0.270
99,975.50,0040,0000,0.140,0.360
99,975.25,0040,0000,0.180,0.380
99,975.00,0040,0000,0.120,0.340
99,974.75,0040,0000,0.130,0.280
99,974.50,0040,0000,0.150,0.240
99,974.25,0040,0000,0.170,0.210
99,974.00,0040,0000,0.160,0.170
99,973.75,0040,0000,0.150,0.160
99,973.50,0040,0000,0.110,0.130
99,973.25,0040,0000,0.090,0.170
99,973.00,0040,0000,0.060,0.160
99,972.75,0040,0000,0.070,0.160
99,972.50,0040,0000,0.150,0.210
99,972.25,0040,0000,0.190,0.210
99,972.00,0040,0000,0.240,0.230
99,971.75,0040,0000,0.280,0.180
99,971.50,0040,0000,0.270,0.150
99,971.25,0040,0000,0.240,0.130
99,971.00,0040,0000,0.130,0.130
99,970.75,0040,0000,0.150,0.160
99,970.50,0040,0000,0.170,0.140
99,970.25,0040,0000,0.220,0.090
99,970.00,0040,0000,0.270,0.050
99,969.75,0040,0000,0.210,0.020
99,969.50,0040,0000,0.190,0.010
99,969.25,0040,0000,0.040,0.000
99,969.00,0040,0000,0.020,0.020
99,968.75,0040,0000,0.000,0.060
99,968.50,0040,0000,-0.040,0.060
99,968.25,0040,0000,-0.060,0.040
