里程,Meters,Flags,Event,左高程(mm),右高程(mm)
100,62.00,0040,0000,-0.230,0.140
100,61.75,0040,0000,-0.130,0.170
100,61.50,0040,0000,0.000,0.220
100,61.25,0040,0000,0.000,0.260
100,61.00,0040,0000,-0.030,0.300
100,60.75,0040,0000,-0.140,0.340
100,60.50,0040,0000,-0.210,0.340
100,60.25,0040,0000,-0.190,0.380
100,60.00,0040,0000,-0.130,0.430
100,59.75,0040,0000,0.000,0.490
100,59.50,0040,0000,0.070,0.410
100,59.25,0040,0000,0.120,0.310
100,59.00,0040,0000,0.100,0.210
100,58.75,0040,0000,0.050,0.140
100,58.50,0040,0000,-0.090,0.080
100,58.25,0040,0000,-0.110,0.040
100,58.00,0040,0000,-0.130,0.100
100,57.75,0040,0000,-0.040,0.260
100,57.50,0040,0000,-0.050,0.360
100,57.25,0040,0000,-0.100,0.410
100,57.00,0040,0000,-0.060,0.340
100,56.75,0040,0000,-0.060,0.290
100,56.50,0040,0000,0.080,0.320
100,56.25,0040,0000,0.050,0.270
100,56.00,0040,0000,0.040,0.210
100,55.75,0040,0000,-0.040,0.060
100,55.50,0040,0000,0.000,0.060
100,55.25,0040,0000,0.000,0.070
100,55.00,0040,0000,0.000,0.140
100,54.75,0040,0000,0.110,0.130
100,54.50,0040,0000,0.270,0.100
100,54.25,0040,0000,0.400,0.060
100,54.00,0040,0000,0.320,0.030
100,53.75,0040,0000,0.240,-0.010
100,53.50,0040,0000,0.190,-0.030
100,53.25,0040,0000,0.160,-0.090
100,53.00,0040,0000,0.050,-0.180
100,52.75,0040,0000,-0.030,-0.300
100,52.50,0040,0000,-0.110,-0.540
100,52.25,0040,0000,-0.100,-0.660
100,52.00,0040,0000,-0.030,-0.760
100,51.75,0040,0000,0.020,-0.810
100,51.50,0040,0000,0.060,-0.880
100,51.25,0040,0000,0.000,-1.060
100,51.00,0040,0000,0.000,-1.170
100,50.75,0040,0000,0.030,-1.300
100,50.50,0040,0000,0.000,-1.410
100,50.25,0040,0000,-0.020,-1.510
100,50.00,0040,0000,-0.140,-1.630
100,49.75,0040,0000,-0.120,-1.680
100,49.50,0040,0000,-0.100,-1.940
100,49.25,0040,0000,0.000,-1.790
100,49.00,0040,0000,0.000,-1.470
100,48.75,0040,0000,0.020,-0.870
100,48.50,0040,0000,0.000,-0.650
100,48.25,0040,0000,-0.010,-0.540
100,48.00,0040,0000,-0.070,-0.550
100,47.75,0040,0000,0.000,0.110
100,47.50,0040,0000,0.040,0.470
100,47.25,0040,0000,0.150,0.890
100,47.00,0040,0000,0.100,0.620
100,46.75,0040,0000,0.130,0.620
100,46.50,0040,0000,0.160,0.670
100,46.25,0040,0000,0.120,0.680
100,46.00,0040,0000,0.000,0.690
100,45.75,0040,0000,-0.100,0.680
100,45.50,0040,0000,-0.140,0.730
100,45.25,0040,0000,-0.170,0.810
100,45.00,0040,0000,-0.240,0.900
100,44.75,0040,0000,-0.340,0.910
100,44.50,0040,0000,-0.170,0.890
100,44.25,0040,0000,-0.130,0.720
100,44.00,0040,0000,0.060,0.520
100,43.75,0040,0000,0.120,0.310
100,43.50,0040,0000,0.220,0.070
100,43.25,0040,0000,0.320,0.030
100,43.00,0040,0000,0.360,0.020
100,42.75,0040,0000,0.230,0.100
100,42.50,0040,0000,0.230,0.130
100,42.25,0040,0000,0.310,0.230
100,42.00,0040,0000,0.800,0.360
100,41.75,0040,0000,0.970,0.410
100,41.50,0040,0000,1.050,0.390
100,41.25,0040,0000,1.080,0.400
100,41.00,0040,0000,1.110,0.350
100,40.75,0040,0000,1.040,0.300
100,40.50,0040,0000,0.930,0.210
100,40.25,0040,0000,0.880,0.270
100,40.00,0040,0000,0.860,0.320
100,39.75,0040,0000,0.820,0.360
100,39.50,0040,0000,0.740,0.280
100,39.25,0040,0000,0.680,0.210
100,39.00,0040,0000,0.630,0.130
100,38.75,0040,0000,0.550,0.040
100,38.50,0040,0000,0.440,-0.020
100,38.25,0040,0000,0.240,-0.090
100,38.00,0040,0000,0.040,-0.130
100,37.75,0040,0000,-0.200,-0.180
